"Category","Cat_lab","Adsorbent_Name","Ads_lab","BET Surface Area","Pore Volume","Micropore Volume","Pore Diameter","Pressure","Temperature","CO2 Partial Pressure","CO2 Adsorption Capacity","Selectivity","Pattern","Rank"
"Activated_Carbon","6","CP-2-600","190","1700","0.88","0.74","","1","25","1","3.9","","P9","4"
"Zeolite","3","5A","132","600","","","0.42","9.955","30","9.955","3.8623","","P1","4"
"COF","2","CTF-1-600","77","1553","","","0.54","1","0","0.999995","3.82","","P9","4"
"Porous_Carbon","6","SNS3-20","224","2278","1.18","1.11","","1","25","1","3.81","57.27","P9","4"
"Zeolite","3","13X","128","506","","","1","1","25","1","3.7","","P2","4"
"MOF","1","Co4(OH)2(p-CDC)3","15","1080","0.42","","","1","0","1","3.7","","P9","4"
"POP","2","PPN-6-SO3Li","109","1186","0.52","","","1","22","1","3.7","414","P9","4"
"MOF","1","Amine-MIL-101_(Cr)-75%_PEI-amine","9","243.3","0.47","","","1","25","1","3.7","","P2","4"
"Zeolite","3","5A","132","600","","","0.42","9.9071","50","9.9071","3.6984","","P1","4"
"POP","2","PPN-6-SO3NH4","111","593","","","","1","22","1","3.68075","180","P2","4"
"ZIF","1","5A","1","334","0.18","","","1","25","1","3.68","","P2","4"
"Porous_Carbon","6","SNS1-20","219","1180","0.55","0.49","","1","25","1","3.67","62.5","P9","4"
"Porous_Oxide","4","AIPO4-17","152","","","","","1","20","1","3.654","","P1","4"
"Porous_Carbon","6","SNS1-10","218","1275","0.58","0.53","","1","25","1","3.63","60.99","P9","4"
"MOF","1","Cu2(bdcppi)(DMF)2_SNU-50","18","2300","1.08","","1.1","1","25","1","3.6","","P9","4"
"MOF","1","Amine-MIL-101_(Cr)-50%_PEI-amine","8","946.8","0.8","","","2","25","2","3.6","","P9","4"
"POP","2","PPN-6-SO3H","108","1254","0.58","","","1","22","1","3.6","150","P9","4"
"MOF","1","Amine-MIL-101_(Cr)-100%_PEI-amine","7","96.4","0.37","","","2","25","2","3.6","","P2","4"
"Porous_Carbon","6","NC-0.5-600","207","636","","0.27","","1","25","1","3.57","22","P2","4"
"Porous_Oxide","4","AIPO4-17","152","","","","","1","0","1","3.55","","P1","4"
"MOF","1","bio-MOF-11","11","1040","0.45","","0.58","1","30","1","3.53301","","P10","4"
"Porous_Oxide","4","AIPO4-18","153","","","","","1","20","1","3.526","","P1","4"
"Porous_Carbon","6","NC-1-500","210","650","","0.27","","1","25","1","3.52","26","P2","4"
"POP","2","TAPOP-1","110","930","0.56","0.23","0.59","1","0","1","3.5","","P9","4"
"Activated_Carbon","6","CP-2-650","191","2520","1.25","1.08","","1","25","1","3.5","","P9","4"
"POP","2","PECONF-3","99","851","0.434","","","1","0","1","3.49","78","P1","4"
"Porous_Carbon","6","NC-1-700","212","1503","","0.6","","1","25","1","3.46","13","P9","4"
"MOF","1","TBA@bio-MOF-1","43","830","0.37","","","1","0","1","3.44","","P1","4"
"MOF","1","bio-MOF-1","10","1680","0.75","","","1","0","1","3.41","","P9","4"
"COF","2","FCTF-1-600","79","1535","","","0.46","1","25","0.999995","3.41","","P9","4"
"MOP","2","TPP-1","123","863","0.646","0.279","","1","0","1","3.4","53","P9","4"
"Zeolite","3","5A","132","600","","","0.42","1.0363","0","1.0363","3.3584","","P1","4"
"Carbon_Nanotube","7","CNF-1","229","1730","0.78","0.42","0.45","1","25","1","3.35","10","P9","4"
"ZIF","1","ZIF-8_900","53","834","","0.29","","1","25","1","3.35","","P2","4"
"POP","2","PFPOP-1","101","570","0.32","0.19","0.67","1","0","1","3.34","43.7","P1","4"
"MOF","1","bio-MOF-11","11","1040","0.45","","0.58","1","35","1","3.32932","","P10","4"
"Porous_Carbon","6","NS1","213","1726","0.82","0.73","","1","25","1","3.31","","P9","4"
